PRACTICE_CODE,PRACTICE_NAME,STP_CODE
D82064,HUMBLEYARD PRACTICE,QMM
D82065,MANOR FARM MEDICAL CENTRE,QMM
D82066,PASTON SURGERY,QMM
D82067,THE PARK SURGERY,QMM
D82068,HOWDALE SURGERY,QMM
D82070,GREAT MASSINGHAM SURGERY,QMM
D82071,EAST NORWICH MEDICAL PARTNERSHIP,QMM
D82072,BURNHAM SURGERY,QMM
D82073,THE LIONWOOD MEDICAL PRACTICE,QMM
D82076,LAWSON ROAD SURGERY,QMM
D82078,HEATHGATE MEDICAL PRACTICE,QMM
D82079,FELTWELL SURGERY,QMM
D82080,BLOFIELD SURGERY,QMM
D82084,HARLESTON MEDICAL PRACTICE,QMM
D82085,HINGHAM SURGERY,QMM
D82087,PROSPECT MEDICAL PRACTICE,QMM
D82088,UEA MEDICAL CENTRE,QMM
D82096,WOODCOCK RD SURGERY,QMM
D82099,SOUTHGATES SURGICAL & MEDICAL CENTRE,QMM
D82100,SHIPDHAM SURGERY,QMM
D82104,ACLE MEDICAL PARTNERSHIP,QMM
D82105,ST CLEMENTS SURGERY,QMM
D82106,WEST POTTERGATE MED PRAC,QMM
D82600,FLEGGBURGH SURGERY,QMM
D82604,BOUGHTON SURGERY,QMM
D82618,THE WOOTTONS SURGERY,QMM
D82621,PLOWRIGHT MEDICAL CENTRE,QMM
D82624,WINDMILL SURGERY,QMM
D82628,ALDBOROUGH SURGERY,QMM
D83001,CONSTABLE COUNTRY RURAL MEDICAL PRACTICE,QJG
D83002,ALEXANDRA & CRESTVIEW SURGERIES,QMM
D83003,WICKHAMBROOK SURGERY,QJG
D83004,FELIXSTOWE ROAD MEDICAL PRACTICE,QJG
D83005,ANGEL HILL SURGERY,QJG
D83006,BILDESTON HEALTH CENTRE,QJG
D83007,IXWORTH SURGERY,QJG
D83008,BURLINGTON ROAD SURGERY,QJG
D83009,BECCLES MEDICAL CENTRE,QMM
D83010,LONGSHORE SURGERIES,QMM
D83011,BRIDGE ROAD SURGERY,QMM
D83012,CHRISTMAS MALTINGS AND CLEMENTS PRACTICE,QJG
D83013,THE GUILDHALL AND BARROW SURGERY,QJG
D83014,THE LONG MELFORD PRACTICE,QJG
D83015,HOWARD HOUSE SURGERY,QJG
D83016,VICTORIA ROAD SURGERY,QMM
D83017,NEEDHAM MARKET COUNTRY PRACTICE,QJG
D83018,MARKET CROSS SURGERY,QJG
D83019,MENDLESHAM MEDICAL GROUP,QJG
D83020,THE HOLBROOK AND SHOTLEY PRACTICE,QJG
D83021,HAVERHILL FAMILY PRACTICE,QJG
D83022,SOLE BAY H/C,QMM
D83023,HIGH STREET SURGERY,QMM
D83024,IVRY STREET MEDICAL PRACTICE,QJG
D83026,FRAMLINGHAM SURGERY,QJG
D83027,ORCHARD HOUSE SURGERY,QJG
D83028,LEISTON SURGERY,QJG
D83029,THE ROOKERY MEDICAL CENTRE,QJG
D83030,KIRKLEY MILL HEALTH CENTRE,QMM
D83033,BOTESDALE HEALTH CENTRE,QJG
D83034,BUNGAY MEDICAL CENTRE,QMM
D83035,CUTLERS HILL SURGERY,QMM
D83037,HADLEIGH BOXFORD GROUP PRACTICE,QJG
D83038,MOUNT FARM SURGERY,QJG
D83039,THE CHESTERFIELD DRIVE PRACTICE,QJG
D83040,VICTORIA SURGERY,QJG
D83041,DEBENHAM GROUP PRACTICE,QJG
D83043,EYE HEALTH CENTRE,QJG
D83044,STOWHEALTH,QJG
D83045,LAKENHEATH SURGERY,QJG
D83046,TWO RIVERS MEDICAL CENTRE,QJG
D83047,ROSEDALE SURGERY,QMM
D83048,GROVE MEDICAL CENTRE,QJG
D83049,LITTLE ST JOHN STREET SURGERY,QJG
D83050,DEBEN ROAD SURGERY,QJG
D83051,THE DERBY ROAD PRACTICE,QJG
D83053,SAXMUNDHAM HEALTH CENTRE,QJG
D83054,THE PENINSULA PRACTICE,QJG
D83055,WOOLPIT HEALTH CENTRE,QJG
D83056,HAWTHORN DRIVE SURGERY,QJG
D83057,FRAMFIELD HOUSE SURGERY,QJG
D83058,THE NORWICH ROAD SURGERY,QJG
D83059,BARRACK LANE MEDICAL CENTRE,QJG
D83060,HARDWICKE HOUSE GROUP PRACTICE,QJG
D83061,WICKHAM MARKET MEDICAL CENTRE,QJG
D83062,FOREST SURGERY,QJG
D83064,GLEMSFORD SURGERY,QJG
D83067,OAKFIELD SURGERY,QJG
D83069,FRESSINGFIELD MEDICAL CENTRE,QJG
D83070,STANTON SURGERY,QJG
D83073,DR SOLWAY & DR MALLICK PRACTICE,QJG
D83074,ORCHARD MEDICAL PRACTICE,QJG
D83075,SIAM SURGERY,QJG
D83076,CLARE GUILDHALL SURGERY,QJG
D83078,THE REYNARD SURGERY,QJG
D83079,COMBS FORD SURGERY,QJG
D83080,MARTLESHAM SURGERY,QJG
D83081,HAVEN HEALTH,QJG
D83082,WALTON SURGERY,QJG
D83084,THE BIRCHES MEDICAL CENTRE,QJG
D83608,ANDAMAN SURGERY,QMM
D83610,SWAN SURGERY,QJG
D83615,THE BARHAM & CLAYDON SURGERY,QJG
E81001,DR I SALEH'S PRACTICE,QHG
E81002,GREENSAND SURGERY (AMPTHILL),QHG
E81003,DR JL HENDERSON & PARTNERS,QHG
E81004,SALISBURY HOUSE SURGERY,QHG
E81005,BELL HOUSE MEDICAL CENTRE,QHG
E81006,STOPSLEY VILLAGE PRACTICE,QHG
E81007,HARROLD MEDICAL PRACTICE,QHG
E81008,WHEATFIELD SURGERY,QHG
E81009,WEST STREET SURGERY,QHG
E81010,DR WHM MATTA'S PRACTICE,QHG
E81012,GREENSANDS (POTTON),QHG
E81013,CASTLE MEDICAL GROUP PRACTICE,QHG
E81014,PRIORY GARDENS SURGERY,QHG
E81015,FLITWICK SURGERY,QHG
E81016,LISTER HOUSE SURGERY,QHG
E81018,DR JK MARSDEN'S PRACTICE,QHG
E81019,LONDON ROAD HEALTH CENTRE,QHG
E81021,QUEENS PARK HEALTH CENTRE,QHG
E81022,LARKSFIELD SURGERY MEDICAL PARTNERSHIP,QHG
E81024,SHARNBROOK SURGERY,QHG
E81025,THE OAKLEY SURGERY,QHG
E81026,LARKSIDE PRACTICE,QHG
E81027,HOUGHTON REGIS MEDICAL CENTRE,QHG
E81028,DR R KHANCHANDANI'S PRACTICE,QHG
E81029,PUTNOE MEDICAL CENTRE PARTNERSHIP,QHG
E81030,CAULDWELL MEDICAL CENTRE,QHG
E81031,GREAT BARFORD SURGERY,QHG
E81032,LEA VALE MEDICAL PRACTICE,QHG
E81033,SHEFFORD HEALTH CENTRE,QHG
E81034,TODDINGTON MEDICAL CENTRE,QHG
E81035,SANDY HEALTH CENTRE,QHG
E81036,IVEL MEDICAL CENTRE,QHG
E81037,THE DE PARYS GROUP,QHG
E81038,KING STREET SURGERY,QHG
E81040,SUNDON MEDICAL CENTRE,QHG
E81041,GARDENIA PRACTICE,QHG
E81043,CRANFIELD SURGERY,QHG
E81044,LEIGHTON ROAD SURGERY,QHG
E81045,KINGSBURY COURT SURGERY,QHG
E81046,DR HUGHES & PARTNERS,QHG
E81047,GOLDINGTON AVENUE SURGERY,QHG
E81048,BUTE HOUSE MEDICAL CENTRE,QHG
E81049,PRIORY MEDICAL CENTRE,QHG
E81050,ASPLANDS MEDICAL CENTRE,QHG
E81052,KIRBY ROAD SURGERY,QHG
E81056,ST. JOHN'S STREET SURGERY,QHG
E81057,SAFFRON HEALTH PARTNERSHIP,QHG
E81060,LINDEN ROAD SURGERY,QHG
E81061,DR COLLINS AND CARRAGHER AND NEAL,QHG
E81063,DR K PRASAD'S PRACTICE,QHG
E81064,PHOENIX PRIMARY CARE (SOUTH) LTD,QHG
E81065,MEDINA MEDICAL CENTRE,QHG
E81069,CADDINGTON SURGERY,QHG
E81073,THE MEDICI MEDICAL PRACTICE,QHG
E81074,HOUGHTON CLOSE SURGERY,QHG
E81076,DR DV SHAH'S PRACTICE,QHG
E81077,OLIVER STREET SURGERY,QHG
E81611,ROTHSAY SURGERY,QHG
E81612,DRS MIRZA SUKHANI & PARTNERS,QHG
E81615,ASHBURNHAM ROAD SURGERY,QHG
E81617,DR PS BATH'S PRACTICE,QHG
E81631,MALZEARD ROAD PRACTICE,QHG
E81632,BARTON HILLS MEDICAL GROUP,QHG
E81633,NEVILLE ROAD SURGERY,QHG
E81635,EASTGATE SURGERY,QHG
E82001,ROTHSCHILD HOUSE GROUP,QM7
E82002,WRAFTON HOUSE SURGERY,QM7
E82004,HATFIELD ROAD SURGERY,QM7
E82005,STANMORE MEDICAL GROUP,QM7
E82006,THE LIMES SURGERY,QM7
E82007,HANSCOMBE HOUSE SURGERY,QM7
E82008,THE NEVELLS ROAD SURGERY,QM7
E82009,LINCOLN HOUSE SURGERY,QM7
E82012,FAIRBROOK MEDICAL CENTRE,QM7
E82013,BRIDGEWATER SURGERIES,QM7
E82014,"LODGE,HIGHFIELD & REDBOURN",QM7
E82015,SUTHERGREY HOUSE MEDICAL CENTRE,QM7
E82017,GARSTON MEDICAL CENTRE,QM7
E82018,LISTER HOUSE SURGERY,QM7
E82019,BRIDGE COTTAGE SURGERY,QM7
E82020,CONSULTING ROOMS,QM7
E82021,MUCH HADHAM HEALTH CENTRE,QM7
E82022,FERNVILLE SURGERY,QM7
E82023,BURVILL HOUSE SURGERY,QM7
E82024,WALLACE HOUSE,QM7
E82027,PARKFIELD MEDICAL CENTRE,QM7
E82031,MALTINGS SURGERY,QM7
E82032,BENNETTS END SURGERY,QM7
E82035,KNEBWORTH & MARYMEAD PRACTICE,QM7
E82037,VILLAGE SURGERY,QM7
E82038,PUCKERIDGE & STANDON SURGERY,QM7
E82040,PEARTREE LANE SURGERY,QM7
E82041,THE GARDEN CITY PRACTICE,QM7
E82042,ABBEY ROAD SURGERY,QM7
E82043,SCHOPWICK SURGERY,QM7
E82044,THE PORTMILL SURGERY,QM7
E82045,WATFORD HEALTH CENTRE,QM7
E82046,VINE HOUSE HEALTH CENTRE,QM7
E82048,THEOBALD MEDICAL CENTRE,QM7
E82049,BALDWINS LANE SURGERY,QM7
E82050,GROVE HILL MEDICAL CENTRE,QM7
E82051,EVEREST HOUSE SURGERY,QM7
E82053,BANCROFT MEDICAL CENTRE,QM7
E82055,MIDWAY SURGERY,QM7
E82056,SHEPHALL HEALTH CENTRE,QM7
E82057,WARE ROAD SURGERY,QM7
E82058,POTTERELLS MEDICAL CENTRE,QM7
E82059,GRANGE STREET SURGERY,QM7
E82060,PARKBURY HOUSE SURGERY,QM7
E82061,AMWELL SURGERY,QM7
E82062,HALL GROVE GROUP PRACTICE,QM7
E82063,THE MAPLES,QM7
E82064,CHORLEYWOOD HEALTH CENTRE,QM7
E82066,HAVERFIELD SURGERY,QM7
E82067,CHURCH STREET PARTNERSHIP,QM7
E82068,GADE SURGERY,QM7
E82069,THE ELMS SURGERY,QM7
E82070,WOODHALL FARM MEDICAL CTR,QM7
E82071,ELMS MEDICAL PRACTICE,QM7
E82072,THE HEALTH CENTRE PRACTICE,QUE
E82073,MANOR VIEW PRACTICE,QM7
E82074,SOUTH STREET SURGERY,QM7
E82075,REGAL CHAMBERS SURGERY,QM7
E82077,DAVENPORT HOUSE SURGERY,QM7
E82078,HIGHVIEW MEDICAL CENTRE,QM7
E82079,CROMWELL MEDICAL CENTRE,QM7
E82081,CUFFLEY AND GOFFS OAK MEDICAL PRACTICE,QM7
E82082,BIRCHWOOD SURGERY,QM7
E82083,THE COLNE PRACTICE,QM7
E82084,HARVEY GROUP PRACTICE,QM7
E82085,THE RED HOUSE GROUP,QM7
E82086,KING GEORGE SURGERY,QM7
E82088,HAILEY VIEW SURGERY,QM7
E82089,CHELLS SURGERY,QM7
E82090,PARK LANE SURGERY,QM7
E82091,PARKWOOD SURGERY,QM7
E82092,DOLPHIN HOUSE SURGERY,QM7
E82093,BEDWELL MEDICAL CENTRE,QM7
E82094,THE MANOR STREET SURGERY,QM7
E82096,SHEEPCOT MEDICAL CENTRE,QM7
E82098,ANNANDALE MEDICAL CENTRE,QM7
E82099,THE BALDOCK SURGERY,QM7
E82100,CENTRAL SURGERY,QM7
E82102,NEW RIVER HEALTH,QM7
E82104,THE SOLLERSHOTT SURGERY,QM7
E82105,ABBOTSWOOD MEDICAL CENTRE,QM7
E82106,NEW ROAD SURGERY,QM7
E82107,LATTIMORE & VILLAGE SURGERY,QM7
E82111,THE SYMONDS GREEN HEALTH CENTRE,QM7
E82113,COLNEY MEDICAL CENTRE,QM7
E82115,STOCKWELL LODGE MED.CTR.,QM7
E82117,THE GROVE MEDICAL CENTRE,QM7
E82121,WATTON PLACE CLINIC,QM7
E82123,WARDEN LODGE MEDICAL PRACTICE,QM7
E82124,ATTENBOROUGH SURGERY,QM7
E82126,ORCHARD SURGERY,QM7
E82129,KINGS LANGLEY SURGERY,QM7
E82130,THE MEDICAL CENTRE BUNTINGFORD,QM7
E82131,THE NEW SURGERY,QM7
E82132,ROYSIA SURGERY,QUE
E82133,HIGH STREET SURGERY,QM7
E82620,HAILEYBURY COLLEGE,QM7
E82626,WHITWELL SURGERY,QM7
E82638,STANHOPE SURGERY,QM7
E82640,HIGHFIELD SURGERY,QM7
E82641,MANOR HOUSE SURGERY,QM7
E82643,ARCHWAY SURGERY,QM7
E82644,COLERIDGE HOUSE MEDICAL CENTRE,QM7
E82652,GOSSOMS END SURGERY,QM7
E82654,PARSONAGE SURGERY,QM7
E82655,SOUTH OXHEY SURGERY,QM7
E82657,LITTLE BUSHEY SURGERY,QM7
E82661,THE GARDEN CITY SURGERY,QM7
E83003,OAKLEIGH ROAD HEALTH CENTRE,QMJ
E83005,LICHFIELD GROVE SURGERY,QMJ
E83006,GREENFIELD MEDICAL CENTRE,QMJ
E83007,SQUIRES LANE MEDICAL PRACTICE,QMJ
E83008,HEATHFIELDE MEDICAL CENTRE,QMJ
E83009,PHGH DOCTORS,QMJ
E83010,THE SPEEDWELL PRACTICE,QMJ
E83011,THE EVERGLADE MEDICAL PRACTICE,QMJ
E83012,THE OLD COURT HOUSE SURGERY,QMJ
E83013,CORNWALL HOUSE SURGERY,QMJ
E83016,MILLWAY MEDICAL PRACTICE,QMJ
E83017,LONGROVE SURGERY,QMJ
E83018,WATLING MEDICAL CENTRE,QMJ
E83020,ST. GEORGES MEDICAL CENTRE,QMJ
E83021,TORRINGTON PARK GROUP PRACTICE,QMJ
E83024,ST ANDREWS MEDICAL PRACTICE.,QMJ
E83025,PENNINE DRIVE PRACTICE,QMJ
E83026,SUPREME MEDICAL CENTRE,QMJ
E83027,THE PRACTICE AT 188,QMJ
E83028,PARKVIEW SURGERY,QMJ
E83030,PENSHURST GARDENS SURGERY,QMJ
E83031,THE VILLAGE SURGERY,QMJ
E83032,OAK LODGE MEDICAL CENTRE,QMJ
E83034,COLNEY HATCH LANE SURGERY,QMJ
E83035,WENTWORTH MEDICAL PRACTICE.,QMJ
E83036,VALE DRIVE MEDICAL PRACTICE,QMJ
E83037,DERWENT CRESCENT MEDICAL CENTRE,QMJ
E83038,JAI MEDICAL CENTRE,QMJ
E83039,RAVENSCROFT MEDICAL CENTRE,QMJ
E83041,WAKEMANS HILL SURGERY,QMJ
E83044,ADDINGTON MEDICAL CENTRE,QMJ
E83045,FRIERN BARNET MEDICAL CENTRE,QMJ
E83046,MULBERRY MEDICAL PRACTICE,QMJ
E83049,LANGSTONE WAY SURGERY,QMJ
E83050,EAST FINCHLEY MEDICAL CENTRE,QMJ
E83053,LANE END MEDICAL GROUP,QMJ
E83600,ADLER JS-THE SURGERY,QMJ
E83613,EAST BARNET HEALTH CENTRE,QMJ
E83621,BRUNSWICK PARK MEDICAL PRACTICE,QMJ
E83622,TEMPLE FORTUNE MEDICAL GROUP,QMJ
E83637,COLINDALE MEDICAL CENTRE LP,QMJ
E83638,THE MOUNTFIELD SURGERY,QMJ
E83639,ROSEMARY SURGERY,QMJ
E83649,THE HODFORD ROAD PRACTICE,QMJ
E83650,GLOUCESTER ROAD SURGERY,QMJ
E83653,THE PHOENIX PRACTICE,QMJ
E83657,THE HILLVIEW SURGERY,QMJ
E83668,DR SP TALPAHEWA,QMJ
E84002,FORTY WILLOWS SURGERY,QRV
E84003,PREMIER MEDICAL CENTRE,QRV
E84004,THE CIRCLE PRACTICE,QRV
E84005,KINGS ROAD SURGERY,QRV
E84006,THE LAW MEDICAL GROUP PRACTICE,QRV
E84007,UXENDON CRESCENT SURGERY,QRV
E84008,SIMPSON HOUSE MEDICAL CENTRE,QRV
E84009,ENDERLEY ROAD MEDICAL CENTRE,QRV
E84011,ST ANDREWS MEDICAL CENTRE,QRV
E84012,MAPESBURY MEDICAL GROUP,QRV
E84013,CHURCH END MEDICAL CENTRE,QRV
E84014,BACON LANE SURGERY,QRV
E84015,WILLOW TREE FAMILY DOCTORS,QRV
E84017,SUDBURY & ALPERTON MEDICAL CENTRE,QRV
E84018,STREATFIELD HEALTH CENTRE,QRV
E84020,JAI MEDICAL CENTRE (BRENT),QRV
E84021,THE WILLESDEN MEDICAL CENTRE,QRV
E84022,ROXBOURNE MEDICAL CENTRE,QRV
E84024,THE PINN MEDICAL CENTRE,QRV
E84025,THE LONSDALE MEDICAL CENTRE,QRV
E84028,THE STONEBRIDGE PRACTICE,QRV
E84030,AKSYR MEDICAL PRACTICE,QRV
E84031,BRENTFIELD MEDICAL CENTRE,QRV
E84032,ELLIS PRACTICE,QRV
E84033,CHALKHILL FAMILY PRACTICE,QRV
E84036,GLADSTONE MEDICAL CENTRE,QRV
E84039,HONEYPOT MEDICAL CENTRE,QRV
E84040,THE PINNER ROAD SURGERY,QRV
E84042,KILBURN PARK MEDICAL CENTRE,QRV
E84044,THE NORTHWICK SURGERY,QRV
E84048,THE FRYENT WAY SURGERY,QRV
E84049,BRAMPTON HEALTH CENTRE,QRV
E84051,STANLEY CORNER MEDICAL CENTRE,QRV
E84053,HATCH END MEDICAL CENTRE,QRV
E84057,THE STANMORE MEDICAL CENTRE,QRV
E84058,GP DIRECT,QRV
E84059,THE ALLENDALE ROAD SURGERY,QRV
E84061,ELLIOTT HALL MEDICAL CTR.,QRV
E84062,THE SHAFTESBURY MEDICAL CENTRE,QRV
E84063,LANCELOT MEDICAL CENTRE,QRV
E84066,HAZELDENE MEDICAL CENTRE,QRV
E84067,CHURCH LANE SURGERY,QRV
E84068,THE RIDGEWAY SURGERY,QRV
E84069,BELMONT HEALTH CENTRE,QRV
E84070,PINNER VIEW MEDICAL CENTRE,QRV
E84074,FREUCHEN MEDICAL CENTRE,QRV
E84075,MOLLISON WAY SURGERY,QRV
E84076,OXGATE GARDENS SURGERY,QRV
E84078,KINGSBURY HEALTH AND WELLBEING,QRV
E84080,STAVERTON SURGERY,QRV
E84083,LANFRANC MEDICAL CENTRE,QRV
E84086,WALM LANE SURGERY,QRV
E84601,KENTON BRIDGE MEDICAL CENTRE DR GOLDEN,QRV
E84617,THE CIVIC MEDICAL CENTRE,QRV
E84620,PRESTON ROAD SURGERY,QRV
E84626,THE SUNFLOWER MEDICAL CENTRE,QRV
E84635,THE SURGERY,QRV
E84637,HILLTOP MEDICAL PRACTICE,QRV
E84638,ALPERTON MEDICAL CENTRE,QRV
E84645,PARK ROYAL MEDICAL PRACTICE,QRV
E84646,THE STREATFIELD MEDICAL CENTRE,QRV
E84647,KENTON CLINIC,QRV
E84653,ZAIN MEDICAL CENTRE,QRV
E84656,ROUNDWOOD PARK MEDICAL CENTRE,QRV
E84658,ASPRI MEDICAL CENTRE,QRV
E84663,KENTON BRIDGE MEDICAL CENTRE - DR RAJA,QRV
E84665,NEASDEN MEDICAL CENTRE,QRV
E84674,CHICHELE ROAD SURGERY,QRV
E84676,HEADSTONE LANE MEDICAL CENTRE,QRV
E84678,PRESTON MEDICAL CENTRE,QRV
E84680,HEADSTONE ROAD SURGERY,QRV
E84681,SAVITA MEDICAL CENTRE,QRV
E84684,THE TUDOR HOUSE MEDICAL CENTRE,QRV
E84685,SUDBURY SURGERY,QRV
E84693,ST. PETER'S MEDICAL CENTRE,QRV
E84696,PEEL PRECINCT SURGERY,QRV
E84699,KINGS EDGE MEDICAL CENTRE,QRV
E84701,PEARL MEDICAL PRACTICE,QRV
E84702,WILLESDEN GREEN SURGERY,QRV
E84704,ST. GEORGES MEDICAL CENTRE,QRV
E84709,WEMBLEY PARK DRIVE MEDICAL CENTRE,QRV
E84713,THE ENTERPRISE PRACTICE,QRV
E85001,THORNBURY ROAD CENTRE FOR HEALTH,QRV
E85003,NORTH END MEDICAL CENTRE,QRV
E85004,ALBANY PRACTICE,QRV
E85005,"THE SURGERY, DR DASGUPTA & PARTNERS",QRV
E85006,WATERSIDE MEDICAL CENTRE,QRV
E85007,ST. MARGARETS PRACTICE,QRV
E85008,NORTH FULHAM SURGERY,QRV
E85012,KS MEDICAL CENTRE,QRV
E85013,WESTSEVEN GP,QRV
E85014,NORTHFIELDS SURGERY,QRV
E85015,HOUNSLOW MEDICAL CENTRE,QRV
E85016,RICHFORD GATE MEDICAL CENTRE,QRV
E85018,DR SOOD'S PRACTICE,QRV
E85019,CROWN STREET SURGERY,QRV
E85020,BROOK GREEN MEDICAL CENTRE,QRV
E85021,YEADING MEDICAL CENTRE,QRV
E85023,CHEPSTOW GARDENS MEDICAL CENTRE,QRV
E85024,CARLTON SURGERY,QRV
E85025,CASSIDY ROAD MEDICAL CENTRE,QRV
E85026,GORDON HOUSE SURGERY,QRV
E85028,HILLCREST SURGERY,QRV
E85029,"THE MEDICAL CENTRE, DR JEFFERIES & PARTN",QRV
E85030,CHISWICK HEALTH PRACTICE,QRV
E85032,ASHCHURCH SURGERY,QRV
E85033,HAMMERSMITH SURGERY,QRV
E85034,GROSVENOR HOUSE SURGERY,QRV
E85035,MOUNT MEDICAL CENTRE,QRV
E85038,"THE SURGERY, DR MANGWANA & PARTNERS",QRV
E85040,WEST4 GPS,QRV
E85041,HANWELL HEALTH CENTRE (NAISH),QRV
E85042,THE NEW SURGERY,QRV
E85045,TWICKENHAM PARK MEDICAL CENTRE,QRV
E85046,EASTMEAD AVENUE SURGERY,QRV
E85048,"DR CANISIUS & DR HASAN, PARKVIEW CFH&W",QRV
E85049,BELMONT MEDICAL CENTRE,QRV
E85050,GREENFORD ROAD MED.CTR.,QRV
E85051,GREENFORD AVENUE FHP,QRV
E85052,CRANFORD MEDICAL CENTRE,QRV
E85053,THE MEDICAL CENTRE,QRV
E85054,HILLVIEW SURGERY,QRV
E85055,THE BUSH DOCTORS,QRV
E85056,ST DAVIDS PRACTICE,QRV
E85057,QUEENS WALK PRACTICE,QRV
E85058,BLUE WING FAMILY DOCTOR UNIT,QRV
E85059,CHESTNUT PRACTICE,QRV
E85060,KINGFISHER PRACTICE,QRV
E85061,WELCOME PRACTICE,QRV
E85062,FIRSTCARE PRACTICE,QRV
E85064,WEST END SURGERY,QRV
E85066,THE BEDFORD PARK SURGERY,QRV
E85069,OLDFIELD FAMILY PRACTICE,QRV
E85071,CLIFFORD HOUSE MEDICAL CENTRE,QRV
E85074,BROOK GREEN SURGERY,QRV
E85075,CHISWICK FAMILY PRACTICE,QRV
E85077,SHEPHERDS BUSH MEDICAL CENTRE,QRV
E85083,DR SIVANESAN & PARTNER,QRV
E85088,ELMBANK SURGERY,QRV
E85090,HAMMOND ROAD SURGERY,QRV
E85091,BRUNSWICK ROAD MED.CTR.,QRV
E85096,MEDICAL CENTRE,QRV
E85098,ISLIP MANOR MEDICAL CENTRE,QRV
E85099,THE AVENUE SURGERY,QRV
E85103,LADY MARGARET ROAD MEDICAL CENTRE,QRV
E85105,ALLENBY CLINIC,QRV
E85107,THE MILL HILL SURGERY,QRV
E85108,MANDEVILLE MEDICAL CENTRE,QRV
E85109,THE ACTON HEALTH CENTRE,QRV
E85111,PERIVALE MEDICAL CLINIC,QRV
E85112,ELMTREES SURGERY,QRV
E85113,REDWOOD PRACTICE,QRV
E85114,CROSSLANDS SURGERY,QRV
E85115,PENTELOW PRACTICE,QRV
E85116,THE CUCKOO LANE PRACTICE,QRV
E85118,THE FULHAM MEDICAL CENTRE,QRV
E85119,THE MWH PRACTICE,QRV
E85120,THE ARGYLE SURGERY,QRV
E85121,GURU NANAK MEDICAL CENTRE,QRV
E85122,THE FLORENCE ROAD SURGERY,QRV
E85123,THE CORFTON ROAD SURGERY,QRV
E85124,GP AT HAND,QRV
E85125,STERNDALE SURGERY,QRV
E85126,GREEN PRACTICE,QRV
E85127,THE BARNABAS MEDICAL CTRE,QRV
E85128,SANDS END HEALTH CLINIC,QRV
E85129,THE MANSELL ROAD PRACTICE,QRV
E85130,CHISWICK FAMILY PRACTICE,QRV
E85600,WILLOW PRACTICE,QRV
E85605,BRENTFORD GROUP PRACTICE,QRV
E85617,ACTON TOWN MEDICAL CENTRE,QRV
E85623,SOMERSET MEDICAL CENTRE,QRV
E85624,"DR UPPAL & PARTN, PARKVIEW CTR FOR H&W",QRV
E85625,CHISWICK FAMILY DRS PRACTICE,QRV
E85628,ELTHORNE PARK SURGERY,QRV
E85630,WESTERN AVENUE SURGERY,QRV
E85633,THE SOUTHALL MEDICAL CTR.,QRV
E85635,THE VALE SURGERY,QRV
E85636,PARK MEDICAL CENTRE,QRV
E85640,THE CHURCHFIELD ROAD SURGERY,QRV
E85643,MEADOW VIEW,QRV
E85649,FULHAM CROSS MEDICAL CENTRE,QRV
E85656,SUNRISE MEDICAL CENTRE,QRV
E85657,EALING PARK HEALTH CENTRE,QRV
E85658,HOLLY ROAD MEDICAL CENTRE,QRV
E85659,"DR RK KUKAR, PARKVIEW CTR FOR H&W",QRV
E85663,THE SALUJA CLINIC,QRV
E85672,SALISBURY SURGERY,QRV
E85677,THE HORN LANE SURGERY,QRV
E85680,CLOISTER ROAD SURGERY,QRV
E85681,JERSEY PRACTICE,QRV
E85682,DORMERS WELLS MEDICAL CENTRE,QRV
E85683,GLEBE STREET SURGERY,QRV
E85685,THE LILYVILLE SURGERY,QRV
E85687,ACTON LANE MEDICAL CENTRE,QRV
E85692,WELLESLEY ROAD PRACTICE,QRV
E85693,GROVE PARK SURGERY,QRV
E85694,THE BOILEAU ROAD SURGERY,QRV
E85696,CLIFFORD ROAD SURGERY,QRV
E85697,GREENBROOK BEDFONT,QRV
E85699,GROVE VILLAGE MEDICAL CENTRE,QRV
E85707,SKYWAYS MEDICAL CENTRE,QRV
E85708,GILL MEDICAL PRACTICE,QRV
E85712,GOODCARE PRACTICE,QRV
E85713,HOUNSLOW FAMILY PRACTICE,QRV
E85714,THE PITSHANGER LANE SURGERY,QRV
E85715,BROADMEAD SURGERY,QRV
E85716,BATH ROAD SURGERY,QRV
E85718,HATTON MEDICAL PRACTICE,QRV
E85719,ASHVILLE SURGERY,QRV
E85721,THE TOWN SURGERY,QRV
E85723,NORTHOLT FAMILY PRACTICE,QRV
E85725,THE GROVE MEDICAL PRACTICE,QRV
E85726,MATTOCK LANE HEALTH CENTRE,QRV
E85734,QUEENS PARK MEDICAL PRACTICE,QRV
E85735,BRENTFORD FAMILY PRACTICE,QRV
E85736,LITTLE PARK SURGERY,QRV
E85739,HMC HEALTH HESTON GREAT WEST,QRV
E85740,THE LYNWOOD SURGERY,QRV
E85743,ST. GEORGES MEDICAL CTR.,QRV
E85744,ARGYLE HEALTH-ISLEWORTH PRACTICE,QRV
E85745,JUBILEE GARDENS MEDICAL CENTRE,QRV
E85746,GROVE PARK TERRACE SURGERY,QRV
E85748,"THE MEDICAL CENTRE, DR KUKAR",QRV
E85750,SPRING GROVE MEDICAL PRACTICE,QRV
E86001,MOUNTWOOD SURGERY,QRV
E86003,KINGSWAY SURGERY,QRV
E86004,THE MEDICAL CENTRE,QRV
E86005,THE OAKLAND MEDICAL CENTRE,QRV
E86006,THE DEVONSHIRE LODGE PRACTICE,QRV
E86007,HAREFIELD PRACTICE,QRV
